Тематика,Текст обращения,Количество комментариев,Количество репостов
Здравоохранение,текст отсутствует,61,50
Здравоохранение,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,92,43
Культура,"транспорт ходит большими задержками, особенно вечернее время.",14,43
Транспорт,погибли бездомные животные изза отравления. отвечает это?,94,28
Безопасность,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",77,5
Безопасность,текст отсутствует,9,31
ЖКХ,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",11,3
Образование,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",3,21
Образование,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",89,44
Спорт,примите меры! школе хватает учебников учеников х классов.,85,27
ЖКХ,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",86,17
Экология,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,46,200
Культура,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",3,37
Безопасность,"воды доме номер вторые сутки, прошу срочно разобраться!",86,1
Транспорт,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",27,7
Безопасность,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",0,39
Безопасность,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",9,44
Благоустройство,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",24,200
Экология,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",95,36
Здравоохранение,текст отсутствует,49,39
Экология,текст отсутствует,64,20
Здравоохранение,примите меры! школе хватает учебников учеников х классов.,45,19
Безопасность,погибли бездомные животные изза отравления. отвечает это?,25,3
Безопасность,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",85,32
Образование,погибли бездомные животные изза отравления. отвечает это?,63,10
Транспорт,погибли бездомные животные изза отравления. отвечает это?,50,39
Экология,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",3,9
Спорт,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",78,42
Благоустройство,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",79,26
Безопасность,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,3,45
ЖКХ,примите меры! школе хватает учебников учеников х классов.,82,35
Здравоохранение,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",77,30
ЖКХ,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,22,2
Социальная поддержка,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",15,24
Безопасность,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,66,24
Здравоохранение,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",46,32
Образование,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,36,11
Экология,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",200,19
Экология,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",42,43
Социальная поддержка,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",72,19
Экология,"воды доме номер вторые сутки, прошу срочно разобраться!",79,12
Культура,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,31,45
Культура,погибли бездомные животные изза отравления. отвечает это?,100,43
Образование,"воды доме номер вторые сутки, прошу срочно разобраться!",91,150
Благоустройство,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",84,42
Социальная поддержка,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",68,26
ЖКХ,"транспорт ходит большими задержками, особенно вечернее время.",39,29
Культура,примите меры! школе хватает учебников учеников х классов.,55,35
Благоустройство,"воды доме номер вторые сутки, прошу срочно разобраться!",35,13
Здравоохранение,примите меры! школе хватает учебников учеников х классов.,95,49
Здравоохранение,примите меры! школе хватает учебников учеников х классов.,7,28
Образование,"транспорт ходит большими задержками, особенно вечернее время.",74,24
Образование,"воды доме номер вторые сутки, прошу срочно разобраться!",92,41
Спорт,текст отсутствует,10,28
Благоустройство,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,57,24
Социальная поддержка,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",29,47
Образование,погибли бездомные животные изза отравления. отвечает это?,52,30
Здравоохранение,текст отсутствует,70,43
ЖКХ,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",60,9
Спорт,"транспорт ходит большими задержками, особенно вечернее время.",86,23
Здравоохранение,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",100,20
Культура,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",93,45
Экология,"транспорт ходит большими задержками, особенно вечернее время.",40,100
Экология,"воды доме номер вторые сутки, прошу срочно разобраться!",47,24
Благоустройство,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",94,27
Транспорт,погибли бездомные животные изза отравления. отвечает это?,2,4
Культура,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",65,11
Культура,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,57,11
Экология,текст отсутствует,31,17
ЖКХ,"транспорт ходит большими задержками, особенно вечернее время.",78,7
Спорт,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",14,46
Культура,текст отсутствует,21,23
Спорт,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",1,1
Безопасность,текст отсутствует,19,2
Социальная поддержка,текст отсутствует,35,200
Социальная поддержка,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",65,24
Здравоохранение,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",300,50
