Тематика,Текст обращения,Количество комментариев,Количество репостов
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,92,43
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",14,43
Строительство,погибли бездомные животные изза отравления. отвечает это?,94,28
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",77,5
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",11,3
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",3,21
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",89,44
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,85,27
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",86,17
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,46,200
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",3,37
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",86,1
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",27,7
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",0,39
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",9,44
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",24,200
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",95,36
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,45,19
Строительство,погибли бездомные животные изза отравления. отвечает это?,25,3
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",85,32
Строительство,погибли бездомные животные изза отравления. отвечает это?,63,10
Строительство,погибли бездомные животные изза отравления. отвечает это?,50,39
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",3,9
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",78,42
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",79,26
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,3,45
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,82,35
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",77,30
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,22,2
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",15,24
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,66,24
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",46,32
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,36,11
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",200,19
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",42,43
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",72,19
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",79,12
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,31,45
Строительство,погибли бездомные животные изза отравления. отвечает это?,100,43
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",91,150
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",84,42
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",68,26
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",39,29
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,55,35
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",35,13
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,95,49
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,7,28
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",74,24
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",92,41
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,57,24
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",29,47
Строительство,погибли бездомные животные изза отравления. отвечает это?,52,30
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",60,9
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",86,23
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",100,20
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",93,45
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",40,100
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",47,24
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",94,27
Строительство,погибли бездомные животные изза отравления. отвечает это?,2,4
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",65,11
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,57,11
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",78,7
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",14,46
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",1,1
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",65,24
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",300,50
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,76,38
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",35,18
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,40,2
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",45,20
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",10,39
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",62,35
Строительство,погибли бездомные животные изза отравления. отвечает это?,5,7
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,40,7
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",150,47
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,0,29
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",24,9
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",97,41
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,54,12
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,93,3
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,16,21
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,94,15
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",61,42
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",51,36
Строительство,погибли бездомные животные изза отравления. отвечает это?,29,9
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",29,37
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,0,39
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,17,29
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,57,8
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,46,24
Строительство,погибли бездомные животные изза отравления. отвечает это?,28,5
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",8,14
Строительство,погибли бездомные животные изза отравления. отвечает это?,49,4
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",24,45
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",93,16
Строительство,погибли бездомные животные изза отравления. отвечает это?,200,100
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,24,8
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",21,25
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,9,34
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",46,50
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",23,13
Строительство,погибли бездомные животные изза отравления. отвечает это?,11,43
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,77,3
Строительство,погибли бездомные животные изза отравления. отвечает это?,76,23
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",44,24
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,41,18
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",77,35
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",96,36
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",99,9
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",28,32
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",100,33
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,69,0
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",30,4
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",86,38
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,67,37
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",19,5
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",11,17
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",11,9
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,84,46
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",7,0
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",87,26
Строительство,погибли бездомные животные изза отравления. отвечает это?,18,36
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,8,23
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",61,2
Строительство,погибли бездомные животные изза отравления. отвечает это?,32,13
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,59,44
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,43,45
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",8,25
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",6,43
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",76,28
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",48,34
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",92,31
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,83,0
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",300,29
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",150,32
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,72,3
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",64,1
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",35,34
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,77,17
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",27,16
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,29,10
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",29,34
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",84,33
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,32,5
Строительство,погибли бездомные животные изза отравления. отвечает это?,15,4
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,47,40
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",87,24
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",29,42
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,20,150
Строительство,погибли бездомные животные изза отравления. отвечает это?,79,35
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",61,39
Строительство,погибли бездомные животные изза отравления. отвечает это?,4,10
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,45,150
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",99,15
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",45,49
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",27,39
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",25,33
Строительство,погибли бездомные животные изза отравления. отвечает это?,45,7
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",23,16
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,14,3
Строительство,погибли бездомные животные изза отравления. отвечает это?,40,28
Строительство,погибли бездомные животные изза отравления. отвечает это?,4,22
Строительство,погибли бездомные животные изза отравления. отвечает это?,32,18
Строительство,погибли бездомные животные изза отравления. отвечает это?,40,37
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,59,20
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",2,2
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",53,34
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",63,7
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",79,26
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",31,44
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",71,11
Строительство,погибли бездомные животные изза отравления. отвечает это?,64,100
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",93,3
Строительство,погибли бездомные животные изза отравления. отвечает это?,95,23
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",95,47
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",63,10
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,87,47
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",87,7
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",58,50
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",66,6
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,28,29
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",50,19
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",72,18
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",6,18
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,24,0
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",38,27
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",29,0
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",56,3
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",52,17
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,200,100
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,20,12
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,72,22
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",18,100
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,32,29
Строительство,погибли бездомные животные изза отравления. отвечает это?,18,45
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,70,12
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,92,17
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",96,22
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",21,1
Строительство,погибли бездомные животные изза отравления. отвечает это?,32,31
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,71,38
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",83,45
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",33,30
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",73,2
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,100,9
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,57,42
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",24,43
Строительство,погибли бездомные животные изза отравления. отвечает это?,84,16
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",52,29
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,5,18
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",66,16
